user_id,gender,age_group,education,ai_study,pacman_knowledge,time_taken,explanation_mechanism_order,final_thoughts
79,Female,25–34,Master's Degree,No,Have played once or twice and have minimal knowledge of the game,735,"('OptimalAction', 'DatasetSimilarity', 'SARFA', 'TemporalDecomposition')",difficult to understand the task based on how it was written. Could rename components like explanation agent etc
80,Female,65 and older,High School,No,Have played once or twice and have minimal knowledge of the game,946,"('SARFA', 'OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition')",
81,Female,35–44,High School,No,Have played once or twice and have minimal knowledge of the game,980,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",
82,Female,35–44,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,823,"('OptimalAction', 'SARFA', 'TemporalDecomposition', 'DatasetSimilarity')",
83,Female,18–24,Bachelor's Degree,Yes,Have played and understand the game well,977,"('TemporalDecomposition', 'SARFA', 'DatasetSimilarity', 'OptimalAction')",
84,Female,35–44,Bachelor's Degree,No,Have played and understand the game well,900,"('OptimalAction', 'TemporalDecomposition', 'SARFA', 'DatasetSimilarity')",
85,Male,35–44,High School,No,Have played and understand the game well,844,"('SARFA', 'DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction')",
86,Male,18–24,High School,No,Have played once or twice and have minimal knowledge of the game,1249,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
87,Male,18–24,High School,No,Have played once or twice and have minimal knowledge of the game,746,"('TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity', 'SARFA')",
88,Female,45–54,Master's Degree,No,Have played and understand the game well,1191,"('SARFA', 'OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity')",
89,Female,25–34,Bachelor's Degree,No,Have played and understand the game well,764,"('TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction', 'SARFA')",
90,Female,45–54,High School,No,Have played once or twice and have minimal knowledge of the game,1282,"('OptimalAction', 'DatasetSimilarity', 'SARFA', 'TemporalDecomposition')",
91,Male,55–64,Master's Degree,Yes,Have played once or twice and have minimal knowledge of the game,906,"('TemporalDecomposition', 'OptimalAction', 'SARFA', 'DatasetSimilarity')",interesting. love the game. thanks
92,Female,18–24,Bachelor's Degree,Yes,Have played and understand the game well,1358,"('OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity', 'SARFA')",
93,Female,25–34,Bachelor's Degree,No,Have played and understand the game well,1383,"('OptimalAction', 'TemporalDecomposition', 'SARFA', 'DatasetSimilarity')",
94,Female,25–34,High School,No,Have played once or twice and have minimal knowledge of the game,1021,"('SARFA', 'OptimalAction', 'DatasetSimilarity', 'TemporalDecomposition')",It was difficult to be confident without feedback
95,Female,35–44,High School,No,Have played once or twice and have minimal knowledge of the game,1313,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",
96,Female,35–44,High School,Yes,Have played and understand the game well,1042,"('OptimalAction', 'SARFA', 'DatasetSimilarity', 'TemporalDecomposition')",
97,Male,35–44,Bachelor's Degree,Yes,Have played and understand the game well,1115,"('SARFA', 'TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction')",
98,Female,65 and older,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,1259,"('OptimalAction', 'SARFA', 'DatasetSimilarity', 'TemporalDecomposition')",
99,Male,18–24,Bachelor's Degree,Yes,Have played and understand the game well,768,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
100,Male,45–54,High School,Yes,Have played and understand the game well,1191,"('TemporalDecomposition', 'OptimalAction', 'SARFA', 'DatasetSimilarity')",
101,Male,55–64,Master's Degree,No,Have played once or twice and have minimal knowledge of the game,1387,"('DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction', 'SARFA')",
102,Male,18–24,Bachelor's Degree,No,Never played and have no idea how the game works,1285,"('DatasetSimilarity', 'TemporalDecomposition', 'SARFA', 'OptimalAction')",
103,Female,25–34,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,1521,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
104,Female,45–54,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,1441,"('TemporalDecomposition', 'DatasetSimilarity', 'SARFA', 'OptimalAction')",
105,Male,45–54,High School,Yes,Have played and understand the game well,1625,"('OptimalAction', 'SARFA', 'DatasetSimilarity', 'TemporalDecomposition')","A very enjoyable survey.  As I wrote in a previous step, a text box to explain why I made the selections I did might be useful for both you and me.  For me to organise my thinking and for you to understand it.  Thank you, this has been fun 😊"
106,Female,45–54,"Doctorate or Professional Degree (e.g., PhD, MD, JD)",No,Have played once or twice and have minimal knowledge of the game,1452,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",Not sure if the Heatmap on the final section was displaying as you intended. Was not clear.
107,Male,25–34,Bachelor's Degree,Yes,Have played and understand the game well,1532,"('DatasetSimilarity', 'SARFA', 'OptimalAction', 'TemporalDecomposition')",this was very different
108,Female,35–44,High School,No,Have played and understand the game well,687,"('DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition', 'SARFA')",
109,Male,18–24,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,1444,"('DatasetSimilarity', 'TemporalDecomposition', 'SARFA', 'OptimalAction')",none
110,Male,35–44,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,2251,"('OptimalAction', 'DatasetSimilarity', 'SARFA', 'TemporalDecomposition')",It was a really interesting survey and I'd have like to seen more detail on the methods. However the images were a little small on my desktop to see clearly. Perhaps they didnt scale well? 
111,Male,35–44,Bachelor's Degree,Yes,Have played once or twice and have minimal knowledge of the game,2156,"('OptimalAction', 'TemporalDecomposition', 'SARFA', 'DatasetSimilarity')",
112,Male,25–34,Master's Degree,Yes,Have played and understand the game well,2581,"('SARFA', 'OptimalAction', 'TemporalDecomposition', 'DatasetSimilarity')",
113,Male,25–34,Master's Degree,Yes,Have played and understand the game well,3432,"('SARFA', 'DatasetSimilarity', 'OptimalAction', 'TemporalDecomposition')",
114,Male,35–44,Master's Degree,Yes,Have played once or twice and have minimal knowledge of the game,2659,"('DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction', 'SARFA')",
117,Female,25–34,Bachelor's Degree,No,Have played once or twice and have minimal knowledge of the game,454,"('SARFA', 'TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction')",
118,Male,25–34,Bachelor's Degree,Yes,Have played and understand the game well,1784,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
119,Female,35–44,Bachelor's Degree,No,Have played and understand the game well,1058,"('DatasetSimilarity', 'TemporalDecomposition', 'OptimalAction', 'SARFA')",
121,Male,45–54,Bachelor's Degree,No,Have played and understand the game well,791,"('SARFA', 'TemporalDecomposition', 'DatasetSimilarity', 'OptimalAction')",
122,Male,35–44,Bachelor's Degree,No,Have played and understand the game well,798,"('SARFA', 'TemporalDecomposition', 'OptimalAction', 'DatasetSimilarity')",
